"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"KET INY","Ketorolaco Sol. Iny. ","","Excento de ","$14.05 ","$32.00 ","$32.00 "
"VOYDO","Ketorolaco sublingual ","","Excento de ","$8.77 ","$34.00 ","$34.00 "
"KETROL ","Ketorolaco TABLETAS 10mg ","","Excento de ","$5.30 ","$20.00 ","$20.00 "
"ORDE","Ketorolaco/Tramadol ","","Excento de ","$26.47 ","$60.00 ","$60.00 "
"MAVID","Ketorolaco/Tramadol ","","Excento de ","$26.73 ","$55.00 ","$55.00 "
"LOV ","Loratadina 10 mg c/10 tab","","Excento de ","$12.55 ","$35.00 ","$35.00 "
"LOXC P","Loxcell Pediatrico Susp. ","","Excento de ","$84.10 ","$109.00 ","$109.00 "
"MEJOR ","Mejoral Paracetamol 500mg ","","Excento de ","$31.70 ","$33.00 ","$33.00 "
"MEJOR","Mejoral TABLETAS 500mg ","","Excento de ","$25.33 ","$55.00 ","$55.00 "
"MAVI","Meloxicam 15 mg c/10 tab","","Excento de ","$12.25 ","$42.00 ","$42.00 "
"FELXIVE","Meloxicam TABLETAS 7.5mg ","","Excento de ","$7.99 ","$25.00 ","$25.00 "
"FLEX ","Meloxicam/Metocarbamol ","","Excento de ","$38.32 ","$85.00 ","$85.00 "
"FLEXIVE","MELOXICAM/METOCARBA","","Excento de ","$45.99 ","$86.00 ","$86.00 "
"PIRINOV","Metamizol Sodico 500mg C ","","Excento de ","$8.80 ","$20.00 ","$20.00 "
"MESSEL","Metamizol Sodico 500mg ","","Excento de ","$7.74 ","$17.00 ","$17.00 "
"AVAFON","Metamizol Sodico 500mg ","","Excento de ","$5.99 ","$16.00 ","$16.00 "
"PIROME","Metamizol Sodico 500mg ","","Excento de ","$14.33 ","$28.00 ","$28.00 "
"SUPRIM","Metamizol Sodico Gotas ","","Excento de ","$30.39 ","$65.00 ","$65.00 "
"MET INY","Metamizol Sodico Iny. 1g/2ml ","","Excento de ","$10.00 ","$20.00 ","$20.00 "
"NEOS S","Metamizol Sodico Jar. ","","Excento de ","$33.07 ","$70.00 ","$70.00 "
"INFATE","Metamizol sódico JARABE ","","Excento de ","$21.00 ","$50.00 ","$50.00 "
"DEFIN","Metamizol Sodico Solucion ","","Excento de ","$18.89 ","$38.00 ","$38.00 "
"FAR","Metamizol Sodico Sup. ","","Excento de ","$21.35 ","$45.00 ","$45.00 "
"METAMI","METAMIZOL SODICO ","","Excento de ","$6.26 ","$22.00 ","$22.00 "
"METAPI","Metamizol sodico TABLETAS ","","Excento de ","$7.77 ","$16.00 ","$16.00 "
"BUSC","Metamizol Sodico/ ","","Excento de ","$34.67 ","$69.00 ","$69.00 "
"PASM","Metamizol/Hioscina Iny. 2.5","","Excento de ","$15.70 ","$30.00 ","$30.00 "
"REMIS","Metocarbamol/ Acido ","","Excento de ","$33.57 ","$52.00 ","$52.00 "
"CARBA","Metocarbamol/ Ibuprofeno ","","Excento de ","$51.55 ","$96.00 ","$96.00 "
"ROMUQ","Metocarbamol/Indimetacina/B","","Excento de ","$49.71 ","$130.00 ","$130.00 "
"MOT","Motrin Sup. INFANTIL ","","Excento de ","$212.90 ","$266.00 ","$266.00 "
"MOTR ","Motrin Sup. PEDIATRICA ","","Excento de ","$121.40 ","$152.00 ","$152.00 "
"DOLX ","Naproxeno 250mg c/20 tab","","Excento de ","$19.60 ","$30.00 ","$30.00 "
"NOVAX","Naproxeno 250mg c/30 tab ","","Excento de ","$15.17 ","$32.00 ","$32.00 "
"DOLXEN ","NAPROXENO 500 MG C/20 ","","Excento de ","$30.00 ","$60.00 ","$60.00 "
"DOLXEN","Naproxeno 500mg c/10 tab ","","Excento de ","$22.00 ","$36.00 ","$36.00 "
"BRUPR","NAPROXENO 500MG ","","Excento de ","$23.47 ","$52.00 ","$52.00 "
"ALIV","Naproxeno 550mg ALIVIAX ","","Excento de ","$111.59 ","$140.00 ","$140.00 "
"BIXEN ","Naproxeno Sodico 275mg ","","Excento de ","$22.71 ","$41.00 ","$41.00 "
"BIXEN","Naproxeno Sodico 550mg ","","Excento de ","$25.83 ","$56.00 ","$56.00 "
"PENSO","Naproxeno ","","Excento de ","$30.39 ","$60.00 ","$60.00 "
"MESSEL","Naproxeno TABLETAS ","","Excento de ","$19.43 ","$40.00 ","$40.00 "
"FLAXEN","Naproxeno TABLETAS ","","Excento de ","$23.12 ","$50.00 ","$50.00 "
"LUMBO","Naproxeno/Lidocaina Gel ","","Excento de ","$39.69 ","$85.00 ","$85.00 "
"LUMBO","Naproxeno/Lidocaina Gel ","","Excento de ","$39.69 ","$85.00 ","$85.00 "
